Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.627500,4.655000,4.527500,4.622500,4.240230,80020400
2010-01-05,4.605000,4.740000,4.605000,4.690000,4.302148,72864800
2010-01-06,4.687500,4.730000,4.642500,4.720000,4.329667,64916800
2010-01-07,4.695000,4.715000,4.592500,4.627500,4.244817,54779200
2010-01-08,4.590000,4.670000,4.562500,4.637500,4.253988,47816800
2010-01-11,4.662500,4.682500,4.507500,4.572500,4.194364,55661200
2010-01-12,4.505000,4.522500,4.322500,4.417500,4.052184,62743200
2010-01-13,4.447500,4.492500,4.275000,4.477500,4.107221,50886800
2010-01-14,4.422500,4.455000,4.332500,4.407500,4.043010,60852400
2010-01-15,4.375000,4.412500,4.220000,4.277500,3.923760,81819200
2010-01-19,4.245000,4.385000,4.232500,4.357500,3.997144,54532800
2010-01-20,4.302500,4.357500,4.245000,4.340000,3.981092,71972800
2010-01-21,4.337500,4.415000,4.222500,4.262500,3.910001,60863200
2010-01-22,4.212500,4.290000,4.090000,4.115000,3.774700,106791600
2010-01-25,4.182500,4.265000,4.152500,4.185000,3.838910,64367600
2010-01-26,4.165000,4.192500,4.050000,4.052500,3.717367,71463600
2010-01-27,4.050000,4.177500,4.005000,4.162500,3.818269,81250400
2010-01-28,4.195000,4.210000,3.965000,4.022500,3.689849,68776400
2010-01-29,4.067500,4.112500,3.787500,3.847500,3.529321,77470000
2010-02-01,3.862500,4.150000,3.830000,4.142500,3.799924,94983200
2010-02-02,4.127500,4.237500,4.115000,4.185000,3.838910,84981200
2010-02-03,4.147500,4.237500,4.127500,4.220000,3.871016,56229600
2010-02-04,4.182500,4.182500,3.930000,3.975000,3.646276,78348000
2010-02-05,3.970000,4.065000,3.900000,4.055000,3.719661,60485600
2010-02-08,4.042500,4.145000,3.967500,4.047500,3.712781,44516000
2010-02-09,4.112500,4.132500,3.975000,4.015000,3.682968,93014400
2010-02-10,4.040000,4.130000,4.012500,4.092500,3.754059,53582800
2010-02-11,4.157500,4.325000,4.127500,4.280000,3.926055,69598000
2010-02-12,4.250000,4.425000,4.202500,4.337500,3.978798,78021200
2010-02-16,4.395000,4.435000,4.342500,4.417500,4.052184,45702400
2010-02-17,4.472500,4.475000,4.332500,4.460000,4.091168,87656000
2010-02-18,4.215000,4.237500,4.052500,4.167500,3.822858,151550800
2010-02-19,4.150000,4.195000,4.125000,4.145000,3.802216,51054800
2010-02-22,4.162500,4.225000,4.125000,4.152500,3.809097,45808400
2010-02-23,4.165000,4.182500,4.010000,4.052500,3.717367,48976400
2010-02-24,4.087500,4.177500,4.075000,4.137500,3.795338,44586800
